n_drones,n_chargers,seed,month,total_packages,late_count,on_time_rate,mean_delivery_t,p95_delivery_t,p50_delivery_t,mean_wait_t,p95_wait_t,drone_util_fly,drone_util_charge,drone_util_wait,season,wind_mult
3,2,1,11,64,0,1.0,13.592869655220461,34.51979701380222,8.55413924393963,7.41996937828873,27.391661461674342,0.2926411983138005,0.2943311806504561,0.01169044691668487,harmattan,1.0
3,2,2,11,93,0,1.0,56.60292972276067,103.62741003179643,59.075358170813075,50.555734318859166,97.07295699028732,0.41658457226877,0.4045871543791417,0.02352827813089612,harmattan,1.0
3,2,3,11,89,11,0.8764044943820225,50.436381166538574,134.4936389038526,24.415674440506223,44.197049378788876,128.18298764792172,0.408360553361543,0.3988133245824596,0.007207315436332951,harmattan,1.0
3,2,4,11,76,0,1.0,28.232874892823258,60.387926263232174,20.255130556376812,22.00052288518566,53.9754242426053,0.3508583352447831,0.34835835398729253,0.012385193062515865,harmattan,1.0
3,2,5,11,88,4,0.9545454545454546,39.08578629772659,115.96457247188572,30.01016737150877,32.85469789983778,109.37173900083963,0.40033110969572183,0.3765580130679141,0.015483361155648283,harmattan,1.0
3,2,6,11,85,0,1.0,19.080606869134467,42.78430125438733,17.323583582750217,12.837845529598336,36.487219202873256,0.39306275100782995,0.3817125412350579,0.012356077183352127,harmattan,1.0
3,2,7,11,88,8,0.9090909090909091,46.90949390378792,138.91274399664564,27.701874918666164,40.47782451063753,132.87195876049853,0.4174546041725381,0.3913909508682662,0.022926107073047697,harmattan,1.0
3,2,8,11,75,1,0.9866666666666667,47.690587034903004,115.85270007660516,39.895753792992764,41.73221793423315,109.98912757258586,0.3295778767836017,0.3201107639683121,0.014742992887911567,harmattan,1.0
3,2,9,11,80,0,1.0,22.95142631358462,57.4467743882082,13.917805552191538,16.70156343370288,50.24751762473217,0.3703622447337327,0.3576013320169238,0.021289990301862276,harmattan,1.0
3,2,10,11,89,0,1.0,22.5879386889296,61.263318601489075,16.83507329774841,16.451120102445795,56.37812060688457,0.4018648715217653,0.4035027052749459,0.006198618441635191,harmattan,1.0
3,2,11,11,86,0,1.0,44.791124830071894,111.27010753984968,36.90707739830802,38.632919460162164,105.0584801449155,0.38930294372128904,0.38136234712048683,0.012325975125248065,harmattan,1.0
3,2,12,11,75,0,1.0,17.608092824566853,40.14204171592327,12.115604210908828,11.403429381200668,33.77782142838021,0.34470352463145465,0.341734862318117,0.02070564819756391,harmattan,1.0
3,2,13,11,81,0,1.0,28.20374757060326,63.249736021522835,26.154289892660813,22.203076766268325,55.94945309911418,0.35489836235553673,0.33800326565700467,0.028190943802973278,harmattan,1.0
3,2,14,11,77,0,1.0,37.735013272039865,93.68984066249622,32.6247876741171,31.543775958772308,87.64905655480032,0.3499664503167977,0.3412145831519391,0.015070212181209547,harmattan,1.0
3,2,15,11,80,0,1.0,25.976167510631704,53.50582810199711,22.83164749441181,19.99841219214992,49.25960686290336,0.3542373522063281,0.3618105849757412,0.01492532516294173,harmattan,1.0
3,2,16,11,87,0,1.0,26.77681067645608,72.7101764476735,18.84427458228913,20.620121143135112,66.39144943604495,0.3967644365917959,0.373097107066473,0.015907127862086364,harmattan,1.0
3,2,17,11,86,0,1.0,36.399880226677304,94.90583614291396,27.55356927485039,30.3800973247068,89.76796113828647,0.3815095260596199,0.366711609648447,0.012007390671487447,harmattan,1.0
3,2,18,11,79,0,1.0,30.747785512957076,88.99972503603884,20.729449961662,24.49749552705761,82.22387333580545,0.3657577102859682,0.3717340426817057,0.03175228154863885,harmattan,1.0
3,2,19,11,88,0,1.0,40.76552593291345,83.26885054256722,42.379444136433904,34.56728584666061,76.28140635259635,0.40201149932385577,0.3864363533089548,0.01430292486470285,harmattan,1.0
3,2,20,11,90,6,0.9333333333333333,59.776266425829704,129.60098801239707,57.28491675455115,53.62433299099739,123.40530702907664,0.408173289050385,0.3937796706588767,0.019992929629820643,harmattan,1.0
3,2,21,11,67,0,1.0,12.613987355183083,33.86842532755365,7.786926897417175,6.418130219912183,28.554611723148202,0.3074980948615925,0.31036480066408273,0.004160876865485606,harmattan,1.0
3,2,22,11,96,0,1.0,42.792777095303144,84.65988590746707,46.91960296527182,36.734359267964926,78.7731416961621,0.42934064812371564,0.4149794036403278,0.0108735900427947,harmattan,1.0
3,2,23,11,81,18,0.7777777777777778,58.60157518652329,165.34422843472328,21.274171536485653,52.21479091717284,160.7451130252889,0.3807185239005635,0.3690324908132703,0.01768773960469214,harmattan,1.0
3,2,24,11,90,28,0.6888888888888889,78.19511157247689,163.6463163224385,63.10512084911193,72.06559103551355,156.88577211893727,0.4086347024642219,0.3988066484147758,0.022680371846608927,harmattan,1.0
3,2,25,11,73,0,1.0,26.79561433199156,64.36006028715656,25.339712736454544,20.707508881727904,58.044826192169936,0.3259745942781533,0.3322913368471158,0.009193858600549363,harmattan,1.0
3,2,26,11,63,0,1.0,18.067353752608124,40.18483526274659,15.64571305626987,11.843875351048464,33.663431668369505,0.2904289920727839,0.28635777168782456,0.00802427710452904,harmattan,1.0
3,2,27,11,90,0,1.0,43.51603381417796,101.89231161940614,37.13110685396458,37.640716362698846,96.67565647352623,0.389514220775677,0.3772980658020892,0.022880401395871955,harmattan,1.0
3,2,28,11,81,0,1.0,28.345517626433466,82.7142550931203,15.532134493040076,22.054876773842505,74.40935478738243,0.37743845115545777,0.36567057996215624,0.010453274884449157,harmattan,1.0
3,2,29,11,96,2,0.9791666666666666,67.50002013361707,110.09512912919752,73.45241664238844,61.58647876211196,103.38820353579572,0.420518497529252,0.4042952423882409,0.00833913218287044,harmattan,1.0
3,2,30,11,85,0,1.0,22.465022025032376,49.304452287806235,22.508147142093094,16.449962886983425,42.226642161847096,0.37872594572900803,0.39999419566598876,0.02033061683113739,harmattan,1.0
