n_drones,n_chargers,seed,month,total_packages,late_count,on_time_rate,mean_delivery_t,p95_delivery_t,p50_delivery_t,mean_wait_t,p95_wait_t,drone_util_fly,drone_util_charge,drone_util_wait
3,1,1,1,58,6,0.896551724137931,51.11899056400254,137.78074324828037,32.789364109032334,44.87670410178966,132.46699780574465,0.2681871220802567,0.2572115790612702,0.22466346232145437
3,1,2,1,71,9,0.8732394366197183,75.50496893582405,163.8439080436503,74.95542809202357,69.67627786342132,158.58527679629395,0.306545974918959,0.29142743865446924,0.2762539800271113
3,1,3,1,69,11,0.8405797101449275,62.78602511057382,158.55865176714215,53.46344460412104,56.6681222424717,151.905053939281,0.3126928132585527,0.2954197899121211,0.28118675228938234
3,1,4,1,67,15,0.7761194029850746,75.4743082455035,162.3293894697767,64.69897684305863,69.53780969757335,155.26399596820278,0.29194966614359014,0.2621581278986654,0.24930714098689774
3,1,5,1,64,26,0.59375,100.14774394898305,230.41556043506665,89.12583335119521,93.95797068211063,223.93398935916397,0.2934411030221,0.29658592334510037,0.306022682011187
3,1,6,1,67,39,0.417910447761194,124.26472043982173,216.22746953768632,141.25415723346657,118.05130771486934,210.85115657296015,0.3068416160972134,0.2820840563288398,0.2696496397403073
3,1,7,1,67,7,0.8955223880597015,45.07144186962124,147.1740768733374,36.03476546160982,38.84271346541721,141.01171622130852,0.3091294837641996,0.2786399043690768,0.25946923174923403
3,1,8,1,61,20,0.6721311475409836,89.96980850787249,206.4953433104946,79.23199117462468,83.84221540305451,199.15588261347852,0.27687642918066463,0.2601287523349899,0.2666254159174
3,1,9,1,64,25,0.609375,117.40846253923237,291.8307166612264,89.99445998802071,111.1485753805008,284.22938648129764,0.2967650208583861,0.2796791002042935,0.2643251418404307
3,1,10,1,68,40,0.4117647058823529,131.0213036003227,247.50102586234695,149.16237799286148,125.12107857446541,240.09381685879623,0.294796279088641,0.2888470266435342,0.29703625328076483
3,1,11,1,65,14,0.7846153846153846,69.69974136432849,164.50621474378218,62.65795583836598,63.53144452924287,157.86353025165468,0.2969920698374562,0.28241398397256967,0.2597162739616109
3,1,12,1,67,17,0.746268656716418,80.69751372345308,209.15501349306356,60.1178391286453,74.7296144721149,203.26633323912347,0.2931057470766657,0.2727622132970562,0.26297310794534695
3,1,13,1,69,36,0.4782608695652174,124.08181689454295,246.00861952791846,124.22617658742365,118.28331543511437,240.24397091388673,0.2963678523707931,0.28028735586864595,0.30025674352610965
3,1,14,1,60,44,0.26666666666666666,182.77004631666566,305.3743046860996,217.02846616218167,176.6483785008503,298.9844850857288,0.2720741251473485,0.27264906685286033,0.28804092984483026
3,1,15,1,66,41,0.3787878787878788,130.44783210984627,242.99506618030003,146.5151979872426,124.2495440401535,235.45194860622104,0.29981242607998243,0.28681660404850895,0.27810168433755295
3,1,16,1,75,42,0.44,123.05469733052358,268.775179586818,131.30049086641412,117.10914088295266,263.20409343025335,0.32887593409247506,0.3096123284780808,0.31084149483909657
3,1,17,1,67,8,0.8805970149253731,56.74986105860622,155.04555795345044,47.316031358287944,50.76626524207353,149.46601097323455,0.29696364422791915,0.29228130850740897,0.27972600859808494
3,1,18,1,60,31,0.48333333333333334,123.27775303474391,244.68484812198733,126.72820290939632,116.92781760895465,236.42912460373805,0.2792226386441791,0.27160357327372453,0.2780201511525069
3,1,19,1,61,35,0.4262295081967213,142.48833942315997,274.06077793187455,162.6037543496251,136.67208878996746,267.5214917659682,0.26280836194425466,0.2652032713507109,0.2877914974722062
3,1,20,1,65,35,0.46153846153846156,117.66466443559176,234.28925562034644,124.45014239719978,111.14432289256752,226.984023268907,0.31125931707681526,0.27028527375600553,0.23786767220873462
3,1,21,1,65,23,0.6461538461538462,107.94639025843288,215.2128349859176,106.41822156945548,101.73482785852524,210.10981671800934,0.2968908884991277,0.2808141271715459,0.2736195113421062
3,1,22,1,70,19,0.7285714285714285,92.84511935621666,252.5053611582523,67.50832976924335,86.703801746543,246.99170777775188,0.31843869087196786,0.30167989147436725,0.27945747490529305
3,1,23,1,65,18,0.7230769230769231,85.09868484501023,225.88742775179085,51.17518557257415,79.0070660941246,219.5306985924234,0.29330016207967774,0.27151209692766654,0.22970779421537343
3,1,24,1,62,37,0.4032258064516129,149.03745047555273,291.71663749478284,162.5930214025707,142.79757874302288,287.2067622860743,0.2845386004736935,0.2679824697272828,0.2656033926823512
3,1,25,1,65,16,0.7538461538461538,77.33449266920698,195.79568802306986,57.2447466661493,71.4652263414696,189.91629823056567,0.2825943046688378,0.2705930932522746,0.24558109643777867
3,1,26,1,56,15,0.7321428571428571,79.62132433621856,177.87614365349603,63.97111363242226,73.92314360993464,173.73562189868804,0.23636897827548212,0.23011615935549967,0.2326724726311942
3,1,27,1,60,0,1.0,36.64496963962211,74.44283263580971,37.311101345743225,30.801350106905133,67.94645555090723,0.25971642367631026,0.24910739637044227,0.2380536472412744
3,1,28,1,64,26,0.59375,96.14240669135839,185.33492909773773,114.2595664611286,89.92468174456376,177.22073237171745,0.29476621969989464,0.27079335104222413,0.25018382224439434
3,1,29,1,67,37,0.44776119402985076,130.6796397450135,285.7718092650531,129.35335129423925,124.60921077556706,279.32434470744994,0.3012731414466005,0.2771280319316058,0.27344751416153557
3,1,30,1,67,41,0.3880597014925373,110.63018355461304,191.3577616982473,130.40426949003313,104.37680467562522,183.80579377194695,0.3080782314306832,0.29609712844170155,0.2750578009272562
3,2,1,1,64,0,1.0,13.592869655220461,34.51979701380222,8.55413924393963,7.41996937828873,27.391661461674342,0.2926411983138005,0.2943311806504561,0.01169044691668487
3,2,2,1,93,0,1.0,56.60292972276067,103.62741003179643,59.075358170813075,50.555734318859166,97.07295699028732,0.41658457226877,0.4045871543791417,0.02352827813089612
3,2,3,1,89,11,0.8764044943820225,50.436381166538574,134.4936389038526,24.415674440506223,44.197049378788876,128.18298764792172,0.408360553361543,0.3988133245824596,0.007207315436332951
3,2,4,1,76,0,1.0,28.232874892823258,60.387926263232174,20.255130556376812,22.00052288518566,53.9754242426053,0.3508583352447831,0.34835835398729253,0.012385193062515865
3,2,5,1,88,4,0.9545454545454546,39.08578629772659,115.96457247188572,30.01016737150877,32.85469789983778,109.37173900083963,0.40033110969572183,0.3765580130679141,0.015483361155648283
3,2,6,1,85,0,1.0,19.080606869134467,42.78430125438733,17.323583582750217,12.837845529598336,36.487219202873256,0.39306275100782995,0.3817125412350579,0.012356077183352127
3,2,7,1,88,8,0.9090909090909091,46.90949390378792,138.91274399664564,27.701874918666164,40.47782451063753,132.87195876049853,0.4174546041725381,0.3913909508682662,0.022926107073047697
3,2,8,1,75,1,0.9866666666666667,47.690587034903004,115.85270007660516,39.895753792992764,41.73221793423315,109.98912757258586,0.3295778767836017,0.3201107639683121,0.014742992887911567
3,2,9,1,80,0,1.0,22.95142631358462,57.4467743882082,13.917805552191538,16.70156343370288,50.24751762473217,0.3703622447337327,0.3576013320169238,0.021289990301862276
3,2,10,1,89,0,1.0,22.5879386889296,61.263318601489075,16.83507329774841,16.451120102445795,56.37812060688457,0.4018648715217653,0.4035027052749459,0.006198618441635191
3,2,11,1,86,0,1.0,44.791124830071894,111.27010753984968,36.90707739830802,38.632919460162164,105.0584801449155,0.38930294372128904,0.38136234712048683,0.012325975125248065
3,2,12,1,75,0,1.0,17.608092824566853,40.14204171592327,12.115604210908828,11.403429381200668,33.77782142838021,0.34470352463145465,0.341734862318117,0.02070564819756391
3,2,13,1,81,0,1.0,28.20374757060326,63.249736021522835,26.154289892660813,22.203076766268325,55.94945309911418,0.35489836235553673,0.33800326565700467,0.028190943802973278
3,2,14,1,77,0,1.0,37.735013272039865,93.68984066249622,32.6247876741171,31.543775958772308,87.64905655480032,0.3499664503167977,0.3412145831519391,0.015070212181209547
3,2,15,1,80,0,1.0,25.976167510631704,53.50582810199711,22.83164749441181,19.99841219214992,49.25960686290336,0.3542373522063281,0.3618105849757412,0.01492532516294173
3,2,16,1,87,0,1.0,26.77681067645608,72.7101764476735,18.84427458228913,20.620121143135112,66.39144943604495,0.3967644365917959,0.373097107066473,0.015907127862086364
3,2,17,1,86,0,1.0,36.399880226677304,94.90583614291396,27.55356927485039,30.3800973247068,89.76796113828647,0.3815095260596199,0.366711609648447,0.012007390671487447
3,2,18,1,79,0,1.0,30.747785512957076,88.99972503603884,20.729449961662,24.49749552705761,82.22387333580545,0.3657577102859682,0.3717340426817057,0.03175228154863885
3,2,19,1,88,0,1.0,40.76552593291345,83.26885054256722,42.379444136433904,34.56728584666061,76.28140635259635,0.40201149932385577,0.3864363533089548,0.01430292486470285
3,2,20,1,90,6,0.9333333333333333,59.776266425829704,129.60098801239707,57.28491675455115,53.62433299099739,123.40530702907664,0.408173289050385,0.3937796706588767,0.019992929629820643
3,2,21,1,67,0,1.0,12.613987355183083,33.86842532755365,7.786926897417175,6.418130219912183,28.554611723148202,0.3074980948615925,0.31036480066408273,0.004160876865485606
3,2,22,1,96,0,1.0,42.792777095303144,84.65988590746707,46.91960296527182,36.734359267964926,78.7731416961621,0.42934064812371564,0.4149794036403278,0.0108735900427947
3,2,23,1,81,18,0.7777777777777778,58.60157518652329,165.34422843472328,21.274171536485653,52.21479091717284,160.7451130252889,0.3807185239005635,0.3690324908132703,0.01768773960469214
3,2,24,1,90,28,0.6888888888888889,78.19511157247689,163.6463163224385,63.10512084911193,72.06559103551355,156.88577211893727,0.4086347024642219,0.3988066484147758,0.022680371846608927
3,2,25,1,73,0,1.0,26.79561433199156,64.36006028715656,25.339712736454544,20.707508881727904,58.044826192169936,0.3259745942781533,0.3322913368471158,0.009193858600549363
3,2,26,1,63,0,1.0,18.067353752608124,40.18483526274659,15.64571305626987,11.843875351048464,33.663431668369505,0.2904289920727839,0.28635777168782456,0.00802427710452904
3,2,27,1,90,0,1.0,43.51603381417796,101.89231161940614,37.13110685396458,37.640716362698846,96.67565647352623,0.389514220775677,0.3772980658020892,0.022880401395871955
3,2,28,1,81,0,1.0,28.345517626433466,82.7142550931203,15.532134493040076,22.054876773842505,74.40935478738243,0.37743845115545777,0.36567057996215624,0.010453274884449157
3,2,29,1,96,2,0.9791666666666666,67.50002013361707,110.09512912919752,73.45241664238844,61.58647876211196,103.38820353579572,0.420518497529252,0.4042952423882409,0.00833913218287044
3,2,30,1,85,0,1.0,22.465022025032376,49.304452287806235,22.508147142093094,16.449962886983425,42.226642161847096,0.37872594572900803,0.39999419566598876,0.02033061683113739
3,3,1,1,76,0,1.0,18.440190616303493,47.968012714595346,9.500463799483441,12.414947885836678,41.24946163777619,0.3367412931723071,0.3208263934512608,0.0
3,3,2,1,101,0,1.0,32.768587159375556,68.67657011362496,30.05843474439132,26.82389743372566,63.012352095889185,0.44260679648041196,0.41185300816358,0.0
3,3,3,1,88,0,1.0,36.31864713686084,90.14774358625827,21.426506366479742,30.20127636555792,83.16337549697167,0.39876194657381997,0.40066225169202824,0.0
3,3,4,1,78,14,0.8205128205128205,58.56114074876731,146.4151446548873,40.229383999408086,52.07806476975724,140.88291271998773,0.3716979258150593,0.35129540688795413,0.0
3,3,5,1,89,0,1.0,31.821653066295486,83.0318335816726,25.327201436862026,25.711732629991204,78.6530604183505,0.40280216209709646,0.38049522902666966,0.0
3,3,6,1,96,0,1.0,47.90611600948515,95.58435450460064,45.517743093253785,41.655806621909356,89.32851423759124,0.4415928190213981,0.42989443120580534,0.0
3,3,7,1,77,0,1.0,27.60713400587565,66.41445282719145,24.515736395484623,21.20444450193152,58.798380723851835,0.36345710865602154,0.3514155360110935,0.0
3,3,8,1,72,0,1.0,29.829335069712208,62.39414552579569,26.4225476917905,23.877816117707617,56.68973471996289,0.31741434410691155,0.30803656183422784,0.0
3,3,9,1,77,0,1.0,18.589357600985128,59.44827989360052,8.897112510210832,12.611190253599313,50.924203329037056,0.34097695240645004,0.34474689563804617,0.0
3,3,10,1,95,1,0.9894736842105263,46.424073083395335,102.36972894420906,42.81406939665058,40.35713700129876,96.6918005630842,0.4269325391104986,0.4240066261258843,0.0
3,3,11,1,79,0,1.0,17.900781760465232,40.695467309776525,15.14313133010262,11.938444763902655,34.993937917556686,0.34890712794699497,0.3419011530119569,0.0
3,3,12,1,82,0,1.0,38.046066704252986,89.71019722939356,35.61884932712354,31.93089710353816,85.65774506235346,0.36848694223647965,0.3583644161420149,0.0
3,3,13,1,83,18,0.7831325301204819,53.376254169753395,152.88689368037913,25.49540199012762,47.251147068159014,147.36553010640841,0.3765806588387661,0.35550164342778967,0.0
3,3,14,1,83,8,0.9036144578313253,57.905588559807356,132.0072367942325,57.955202954709875,51.75782461212243,127.51851165179714,0.37797363530210987,0.37135479714530856,0.0
3,3,15,1,99,8,0.9191919191919192,68.0199800782548,125.21866543850707,66.36729296844067,61.95796935998185,119.12551035759,0.4397872327276897,0.4241799413987093,0.0
3,3,16,1,75,0,1.0,19.060517116689326,45.57185066318372,14.578102936837013,12.573689398931423,37.24684277831342,0.36037931765321674,0.35614785470410276,0.0
3,3,17,1,86,0,1.0,34.30506327286221,80.67146063037526,27.4899972393184,28.13140933163749,73.59881927977759,0.3932846214409831,0.3774746699706941,0.0
3,3,18,1,94,0,1.0,41.915785723271206,95.89796560669087,34.47646493189511,35.890559254711796,89.48762440431794,0.41741771404762756,0.39502566730356986,0.0
3,3,19,1,89,13,0.8539325842696629,64.86251547934982,134.70473075563746,56.487338670395616,58.62895205300304,128.3939140460659,0.41095344069989953,0.39648231033550946,0.0
3,3,20,1,72,0,1.0,15.936393743441439,31.409574148056016,14.781619771934146,9.84359512991155,26.530204009758044,0.32494925938826064,0.3241332642370152,0.0
3,3,21,1,78,0,1.0,29.862968167239334,74.52444431415682,24.211892341036844,23.514248207549755,66.77370856680895,0.3668149310042868,0.3737106692022629,0.0
3,3,22,1,72,0,1.0,13.997441232467123,35.428830867114684,7.592729177720798,7.957867055831526,29.364675613352205,0.3221106227538985,0.31757512485442907,0.0
3,3,23,1,71,0,1.0,21.329744771059293,55.291782125394604,8.894366161358903,15.29753952752686,49.33597884911063,0.3172493128080021,0.30909957933767346,0.0
3,3,24,1,74,0,1.0,21.833363586235816,47.4434432955973,19.801159760448144,16.0634641830062,42.171917013040904,0.3162759672881421,0.3287662043130092,0.0
3,3,25,1,78,0,1.0,26.393847720403162,63.07901805906343,25.90142513514411,20.38477686418847,56.65256806085813,0.3471907605812934,0.3560666706770601,0.0
3,3,26,1,62,0,1.0,21.56538084596475,50.77128637210614,17.640879928036156,15.310854281823278,43.97523370756446,0.28724492368649696,0.2952638913637477,0.0
3,3,27,1,84,22,0.7380952380952381,69.10928856502672,174.46315407116882,51.6255074275781,62.89706549930619,168.61773343897514,0.3848512267211011,0.3813387320260151,0.0
3,3,28,1,89,0,1.0,26.43178360473466,76.14925196361186,18.3567232259187,20.395006237830827,70.34387323881003,0.39798013752180833,0.3741810310495583,0.0
3,3,29,1,96,21,0.78125,80.04367752776884,151.02475391335517,75.85078936697303,73.95856739100157,143.49577085729118,0.4302251912959956,0.4145862064116616,0.0
3,3,30,1,79,0,1.0,25.40405653393792,69.03785894149885,17.421017554278023,19.307880512969184,62.09020450057614,0.35542142121139436,0.3676405456716224,0.0
3,4,1,1,76,0,1.0,18.440190616303493,47.968012714595346,9.500463799483441,12.414947885836678,41.24946163777619,0.3367412931723071,0.3208263934512608,0.0
3,4,2,1,101,0,1.0,32.768587159375556,68.67657011362496,30.05843474439132,26.82389743372566,63.012352095889185,0.44260679648041196,0.41185300816358,0.0
3,4,3,1,88,0,1.0,36.31864713686084,90.14774358625827,21.426506366479742,30.20127636555792,83.16337549697167,0.39876194657381997,0.40066225169202824,0.0
3,4,4,1,78,14,0.8205128205128205,58.56114074876731,146.4151446548873,40.229383999408086,52.07806476975724,140.88291271998773,0.3716979258150593,0.35129540688795413,0.0
3,4,5,1,89,0,1.0,31.821653066295486,83.0318335816726,25.327201436862026,25.711732629991204,78.6530604183505,0.40280216209709646,0.38049522902666966,0.0
3,4,6,1,96,0,1.0,47.90611600948515,95.58435450460064,45.517743093253785,41.655806621909356,89.32851423759124,0.4415928190213981,0.42989443120580534,0.0
3,4,7,1,77,0,1.0,27.60713400587565,66.41445282719145,24.515736395484623,21.20444450193152,58.798380723851835,0.36345710865602154,0.3514155360110935,0.0
3,4,8,1,72,0,1.0,29.829335069712208,62.39414552579569,26.4225476917905,23.877816117707617,56.68973471996289,0.31741434410691155,0.30803656183422784,0.0
3,4,9,1,77,0,1.0,18.589357600985128,59.44827989360052,8.897112510210832,12.611190253599313,50.924203329037056,0.34097695240645004,0.34474689563804617,0.0
3,4,10,1,95,1,0.9894736842105263,46.424073083395335,102.36972894420906,42.81406939665058,40.35713700129876,96.6918005630842,0.4269325391104986,0.4240066261258843,0.0
3,4,11,1,79,0,1.0,17.900781760465232,40.695467309776525,15.14313133010262,11.938444763902655,34.993937917556686,0.34890712794699497,0.3419011530119569,0.0
3,4,12,1,82,0,1.0,38.046066704252986,89.71019722939356,35.61884932712354,31.93089710353816,85.65774506235346,0.36848694223647965,0.3583644161420149,0.0
3,4,13,1,83,18,0.7831325301204819,53.376254169753395,152.88689368037913,25.49540199012762,47.251147068159014,147.36553010640841,0.3765806588387661,0.35550164342778967,0.0
3,4,14,1,83,8,0.9036144578313253,57.905588559807356,132.0072367942325,57.955202954709875,51.75782461212243,127.51851165179714,0.37797363530210987,0.37135479714530856,0.0
3,4,15,1,99,8,0.9191919191919192,68.0199800782548,125.21866543850707,66.36729296844067,61.95796935998185,119.12551035759,0.4397872327276897,0.4241799413987093,0.0
3,4,16,1,75,0,1.0,19.060517116689326,45.57185066318372,14.578102936837013,12.573689398931423,37.24684277831342,0.36037931765321674,0.35614785470410276,0.0
3,4,17,1,86,0,1.0,34.30506327286221,80.67146063037526,27.4899972393184,28.13140933163749,73.59881927977759,0.3932846214409831,0.3774746699706941,0.0
3,4,18,1,94,0,1.0,41.915785723271206,95.89796560669087,34.47646493189511,35.890559254711796,89.48762440431794,0.41741771404762756,0.39502566730356986,0.0
3,4,19,1,89,13,0.8539325842696629,64.86251547934982,134.70473075563746,56.487338670395616,58.62895205300304,128.3939140460659,0.41095344069989953,0.39648231033550946,0.0
3,4,20,1,72,0,1.0,15.936393743441439,31.409574148056016,14.781619771934146,9.84359512991155,26.530204009758044,0.32494925938826064,0.3241332642370152,0.0
3,4,21,1,78,0,1.0,29.862968167239334,74.52444431415682,24.211892341036844,23.514248207549755,66.77370856680895,0.3668149310042868,0.3737106692022629,0.0
3,4,22,1,72,0,1.0,13.997441232467123,35.428830867114684,7.592729177720798,7.957867055831526,29.364675613352205,0.3221106227538985,0.31757512485442907,0.0
3,4,23,1,71,0,1.0,21.329744771059293,55.291782125394604,8.894366161358903,15.29753952752686,49.33597884911063,0.3172493128080021,0.30909957933767346,0.0
3,4,24,1,74,0,1.0,21.833363586235816,47.4434432955973,19.801159760448144,16.0634641830062,42.171917013040904,0.3162759672881421,0.3287662043130092,0.0
3,4,25,1,78,0,1.0,26.393847720403162,63.07901805906343,25.90142513514411,20.38477686418847,56.65256806085813,0.3471907605812934,0.3560666706770601,0.0
3,4,26,1,62,0,1.0,21.56538084596475,50.77128637210614,17.640879928036156,15.310854281823278,43.97523370756446,0.28724492368649696,0.2952638913637477,0.0
3,4,27,1,84,22,0.7380952380952381,69.10928856502672,174.46315407116882,51.6255074275781,62.89706549930619,168.61773343897514,0.3848512267211011,0.3813387320260151,0.0
3,4,28,1,89,0,1.0,26.43178360473466,76.14925196361186,18.3567232259187,20.395006237830827,70.34387323881003,0.39798013752180833,0.3741810310495583,0.0
